Zdroj;Èas;prefix address;prefix mask;metrika;next-hop
B;1641600;5.104.31.0;24;[20/0];via 12.0.1.63
B;457200;5.104.32.0;19;[20/0];via 217.192.89.50
B;169200;5.104.64.0;24;[20/10];via 89.149.178.10
B;532800;5.104.66.0;24;[20/0];via 94.142.247.3
B;532800;5.104.67.0;24;[20/0];via 94.142.247.3
B;1728000;5.104.68.0;24;[20/0];via 202.232.0.2
B;1296000;5.104.72.0;24;[20/0];via 4.68.4.46
B;1296000;5.104.73.0;24;[20/0];via 4.68.4.46
B;1296000;5.104.74.0;24;[20/0];via 4.68.4.46
B;49570;5.104.75.0;24;[20/0];via 4.68.4.46
B;169200;5.104.76.0;24;[20/10];via 89.149.178.10
B;1641600;5.104.80.0;22;[20/0];via 64.71.137.241
B;1641600;5.104.84.0;22;[20/0];via 64.71.137.241
B;1728000;5.104.88.0;21;[20/0];via 217.192.89.50
B;1728000;5.104.96.0;21;[20/0];via 64.71.137.241
B;1296000;5.104.104.0;21;[20/0];via 217.192.89.50
B;1123200;5.104.112.0;20;[20/0];via 94.142.247.3
B;47646;5.104.128.0;21;[20/10];via 89.149.178.10
B;1296000;5.104.136.0;24;[20/0];via 64.71.137.241
B;1296000;5.104.137.0;24;[20/0];via 64.71.137.241
B;1296000;5.104.138.0;24;[20/0];via 64.71.137.241
B;1296000;5.104.139.0;24;[20/0];via 64.71.137.241
B;1296000;5.104.141.0;24;[20/0];via 64.71.137.241
B;1296000;5.104.142.0;24;[20/0];via 64.71.137.241
B;1296000;5.104.143.0;24;[20/0];via 64.71.137.241
B;950400;5.104.144.0;21;[20/1521];via 144.228.241.130
B;1641600;5.104.152.0;22;[20/0];via 4.68.4.46
B;514800;5.104.156.0;23;[20/0];via 193.0.0.56
B;691200;5.104.159.0;24;[20/0];via 217.192.89.50
B;1555200;5.104.160.0;21;[20/0];via 217.192.89.50
B;604800;5.104.168.0;23;[20/0];via 64.71.137.241
B;1296000;5.104.170.0;24;[20/0];via 217.192.89.50
B;1296000;5.104.171.0;24;[20/0];via 217.192.89.50
B;1296000;5.104.172.0;24;[20/0];via 217.192.89.50
B;1296000;5.104.173.0;24;[20/0];via 217.192.89.50
B;1296000;5.104.174.0;24;[20/0];via 217.192.89.50
B;1641600;5.104.175.0;24;[20/0];via 217.192.89.50
B;1296000;5.104.176.0;24;[20/0];via 217.192.89.50
B;1296000;5.104.177.0;24;[20/0];via 217.192.89.50
B;1296000;5.104.178.0;24;[20/0];via 217.192.89.50
B;1296000;5.104.179.0;24;[20/0];via 217.192.89.50
B;1728000;5.104.180.0;24;[20/0];via 217.192.89.50
B;1296000;5.104.181.0;24;[20/0];via 217.192.89.50
B;262800;5.104.182.0;24;[20/0];via 4.68.4.46
B;97200;5.104.183.0;24;[20/10];via 89.149.178.10
B;604800;5.104.184.0;24;[20/0];via 217.192.89.50
B;604800;5.104.185.0;24;[20/0];via 217.192.89.50
B;604800;5.104.186.0;24;[20/0];via 217.192.89.50
B;604800;5.104.187.0;24;[20/0];via 217.192.89.50
B;604800;5.104.188.0;24;[20/0];via 217.192.89.50
B;604800;5.104.189.0;24;[20/0];via 217.192.89.50
B;604800;5.104.190.0;24;[20/0];via 217.192.89.50
B;604800;5.104.191.0;24;[20/0];via 217.192.89.50
B;1641600;5.104.192.0;21;[20/0];via 64.71.137.241
B;1209600;5.104.200.0;23;[20/0];via 64.71.137.241
B;190800;5.104.202.0;24;[20/0];via 64.71.137.241
B;190800;5.104.203.0;24;[20/0];via 64.71.137.241
B;1728000;5.104.204.0;24;[20/0];via 64.71.137.241
B;190800;5.104.205.0;24;[20/0];via 64.71.137.241
B;190800;5.104.206.0;24;[20/0];via 64.71.137.241
B;190800;5.104.207.0;24;[20/0];via 64.71.137.241
B;457200;5.104.208.0;21;[20/0];via 4.68.4.46
B;590400;5.104.216.0;21;[20/0];via 64.71.137.241
B;1296000;5.104.224.0;21;[20/0];via 217.192.89.50
B;777600;5.104.232.0;21;[20/0];via 4.68.4.46
B;273600;5.104.232.0;23;[20/0];via 4.68.4.46
B;273600;5.104.238.0;23;[20/0];via 4.68.4.46
B;1728000;5.104.240.0;21;[20/0];via 12.0.1.63
B;1728000;5.104.240.0;24;[20/0];via 12.0.1.63
B;1900800;5.104.244.0;23;[20/0];via 12.0.1.63
B;1641600;5.104.244.0;24;[20/0];via 12.0.1.63
B;1900800;5.104.245.0;24;[20/0];via 12.0.1.63
B;129600;5.104.248.0;21;[20/0];via 64.71.137.241
B;1641600;5.105.0.0;22;[20/0];via 64.71.137.241
B;1641600;5.105.4.0;23;[20/0];via 64.71.137.241
B;45432;5.105.6.0;24;[20/10];via 89.149.178.10
B;1641600;5.105.7.0;24;[20/0];via 64.71.137.241
B;1641600;5.105.8.0;21;[20/0];via 64.71.137.241
B;1641600;5.105.16.0;20;[20/0];via 64.71.137.241
B;1641600;5.105.32.0;20;[20/0];via 64.71.137.241
B;1641600;5.105.48.0;21;[20/0];via 64.71.137.241
B;1641600;5.105.56.0;23;[20/0];via 64.71.137.241
B;44461;5.105.59.0;24;[20/0];via 212.66.96.126
B;1641600;5.105.60.0;22;[20/0];via 64.71.137.241
B;1641600;5.105.64.0;18;[20/0];via 64.71.137.241
B;1641600;5.105.128.0;18;[20/0];via 64.71.137.241
B;864000;5.105.130.0;24;[20/0];via 91.218.184.60
B;1641600;5.105.192.0;20;[20/0];via 64.71.137.241
B;864000;5.105.195.0;24;[20/0];via 91.218.184.60
B;864000;5.105.204.0;24;[20/0];via 91.218.184.60
B;1641600;5.105.208.0;22;[20/0];via 64.71.137.241
B;1641600;5.105.212.0;23;[20/0];via 64.71.137.241
B;45433;5.105.214.0;23;[20/0];via 64.71.137.241
B;1641600;5.105.216.0;21;[20/0];via 64.71.137.241
B;1641600;5.105.224.0;21;[20/0];via 64.71.137.241
B;1641600;5.105.232.0;22;[20/0];via 64.71.137.241
B;414000;5.105.236.0;23;[20/0];via 64.71.137.241
B;414000;5.105.238.0;24;[20/0];via 64.71.137.241
B;147600;5.105.239.0;24;[20/0];via 64.71.137.241
B;140400;5.105.240.0;24;[20/0];via 64.71.137.241
B;140400;5.105.241.0;24;[20/0];via 64.71.137.241
B;1641600;5.105.242.0;23;[20/0];via 64.71.137.241
B;1641600;5.105.244.0;24;[20/0];via 64.71.137.241
B;1641600;5.105.245.0;24;[20/0];via 64.71.137.241
B;147600;5.105.246.0;24;[20/0];via 64.71.137.241
B;1641600;5.105.248.0;21;[20/0];via 64.71.137.241
B;280800;5.106.0.0;16;[20/0];via 64.71.137.241
B;280800;5.106.0.0;17;[20/0];via 64.71.137.241
B;237600;5.106.0.0;20;[20/0];via 64.71.137.241
B;237600;5.106.0.0;21;[20/0];via 4.68.4.46
B;237600;5.106.0.0;24;[20/0];via 4.68.4.46
B;237600;5.106.2.0;24;[20/0];via 4.68.4.46
B;691200;5.106.4.0;24;[20/0];via 64.71.137.241
B;691200;5.106.5.0;24;[20/0];via 64.71.137.241
B;691200;5.106.6.0;24;[20/0];via 64.71.137.241
B;691200;5.106.7.0;24;[20/0];via 64.71.137.241
B;691200;5.106.8.0;24;[20/0];via 64.71.137.241
B;691200;5.106.9.0;24;[20/0];via 64.71.137.241
B;691200;5.106.10.0;24;[20/0];via 64.71.137.241
B;691200;5.106.11.0;24;[20/0];via 64.71.137.241
B;691200;5.106.12.0;24;[20/0];via 64.71.137.241
B;691200;5.106.13.0;24;[20/0];via 64.71.137.241
B;691200;5.106.14.0;24;[20/0];via 64.71.137.241
B;691200;5.106.15.0;24;[20/0];via 64.71.137.241
B;237600;5.106.16.0;20;[20/0];via 64.71.137.241
B;16113;5.106.20.0;24;[20/10];via 89.149.178.10
B;691200;5.106.22.0;24;[20/0];via 64.71.137.241
B;691200;5.106.23.0;24;[20/0];via 64.71.137.241
B;237600;5.106.24.0;22;[20/0];via 4.68.4.46
B;237600;5.106.32.0;19;[20/0];via 4.68.4.46
B;237600;5.106.32.0;20;[20/0];via 64.71.137.241
B;237600;5.106.64.0;18;[20/0];via 4.68.4.46
B;237600;5.106.64.0;20;[20/0];via 64.71.137.241
B;237600;5.106.80.0;20;[20/0];via 64.71.137.241
B;237600;5.106.96.0;20;[20/0];via 64.71.137.241
B;237600;5.106.112.0;20;[20/0];via 64.71.137.241
B;237600;5.106.128.0;17;[20/0];via 64.71.137.241
B;280800;5.106.128.0;20;[20/0];via 64.71.137.241
B;280800;5.106.144.0;20;[20/0];via 64.71.137.241
B;280800;5.106.160.0;20;[20/0];via 64.71.137.241
B;280800;5.106.176.0;20;[20/0];via 64.71.137.241
B;280800;5.106.192.0;20;[20/0];via 64.71.137.241
B;280800;5.106.208.0;20;[20/0];via 64.71.137.241
B;280800;5.106.224.0;20;[20/0];via 64.71.137.241
B;280800;5.106.240.0;20;[20/0];via 64.71.137.241
B;57462;5.107.0.0;16;[20/0];via 4.68.4.46
B;44165;5.107.0.0;17;[20/10];via 89.149.178.10
B;44127;5.107.0.0;18;[20/0];via 202.232.0.2
B;44127;5.107.64.0;18;[20/0];via 202.232.0.2
B;44165;5.107.128.0;17;[20/10];via 89.149.178.10
B;44127;5.107.128.0;18;[20/0];via 202.232.0.2
B;44127;5.107.192.0;18;[20/0];via 202.232.0.2
B;1641600;5.108.0.0;14;[20/0];via 217.192.89.50
B;604800;5.108.0.0;20;[20/0];via 217.192.89.50
B;604800;5.108.16.0;20;[20/0];via 217.192.89.50
B;604800;5.108.32.0;20;[20/0];via 217.192.89.50
B;108000;5.108.48.0;20;[20/0];via 217.192.89.50
B;108000;5.108.64.0;20;[20/0];via 217.192.89.50
B;108000;5.108.80.0;20;[20/0];via 217.192.89.50
B;108000;5.108.96.0;20;[20/0];via 217.192.89.50
B;108000;5.108.112.0;20;[20/0];via 217.192.89.50
B;108000;5.108.128.0;20;[20/0];via 217.192.89.50
B;108000;5.108.144.0;20;[20/0];via 217.192.89.50
B;108000;5.108.160.0;20;[20/0];via 217.192.89.50
B;108000;5.108.176.0;20;[20/0];via 217.192.89.50
B;108000;5.108.192.0;20;[20/0];via 217.192.89.50
B;108000;5.108.208.0;20;[20/0];via 217.192.89.50
B;108000;5.108.224.0;20;[20/0];via 217.192.89.50
B;108000;5.108.240.0;20;[20/0];via 217.192.89.50
B;108000;5.109.0.0;20;[20/0];via 217.192.89.50
B;108000;5.109.16.0;20;[20/0];via 217.192.89.50
B;111600;5.109.32.0;20;[20/0];via 217.192.89.50
B;111600;5.109.48.0;20;[20/0];via 217.192.89.50
B;111600;5.109.64.0;20;[20/0];via 217.192.89.50
B;111600;5.109.80.0;20;[20/0];via 217.192.89.50
B;111600;5.109.96.0;20;[20/0];via 217.192.89.50
B;111600;5.109.112.0;20;[20/0];via 217.192.89.50
B;111600;5.109.128.0;20;[20/0];via 217.192.89.50
B;111600;5.109.144.0;20;[20/0];via 217.192.89.50
B;111600;5.109.160.0;20;[20/0];via 217.192.89.50
B;111600;5.109.176.0;20;[20/0];via 217.192.89.50
B;111600;5.109.192.0;20;[20/0];via 217.192.89.50
B;111600;5.109.208.0;20;[20/0];via 217.192.89.50
B;111600;5.109.224.0;20;[20/0];via 217.192.89.50
B;111600;5.109.240.0;20;[20/0];via 217.192.89.50
B;111600;5.110.0.0;20;[20/0];via 217.192.89.50
B;111600;5.110.16.0;20;[20/0];via 217.192.89.50
B;111600;5.110.32.0;20;[20/0];via 217.192.89.50
B;111600;5.110.48.0;20;[20/0];via 217.192.89.50
B;111600;5.110.64.0;20;[20/0];via 217.192.89.50
B;111600;5.110.80.0;20;[20/0];via 217.192.89.50
B;111600;5.110.96.0;20;[20/0];via 217.192.89.50
B;111600;5.110.112.0;20;[20/0];via 217.192.89.50
B;111600;5.110.128.0;20;[20/0];via 217.192.89.50
B;111600;5.110.144.0;20;[20/0];via 217.192.89.50
B;111600;5.110.160.0;20;[20/0];via 217.192.89.50
B;111600;5.110.176.0;20;[20/0];via 217.192.89.50
B;111600;5.110.192.0;20;[20/0];via 217.192.89.50
B;111600;5.110.208.0;20;[20/0];via 217.192.89.50
B;111600;5.110.224.0;20;[20/0];via 217.192.89.50
