Zdroj;čas;prefix address;prefix mask;metrika;next-hop;;;
B;2w5d;5.101.168.0;21;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.101.176.0;20;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.176.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.177.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.178.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.179.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.180.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.181.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.182.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.183.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.184.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.185.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.186.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.188.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.189.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.190.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.101.191.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;3w0d;5.101.192.0;21;[20/0];via 217.192.89.50;3w0d;504:00:00;1814400
B;6:48:42;5.101.200.0;21;[20/0];via 217.192.89.50;06:48:42;06:48:42;24522
B;2w5d;5.101.208.0;22;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.101.212.0;22;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;1d04h;5.101.216.0;24;[20/0];via 64.71.137.241;1d04h;28:00:00;100800
B;2w5d;5.101.217.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w1d;5.101.218.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w5d;5.101.219.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2d20h;5.101.220.0;24;[20/0];via 94.142.247.3;2d20h;68:00:00;244800
B;2w5d;5.101.222.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2d20h;5.101.223.0;24;[20/0];via 94.142.247.3;2d20h;68:00:00;244800
B;2w5d;5.101.224.0;19;[20/0];via 12.0.1.63;2w5d;456:00:00;1641600
B;2d11h;5.102.0.0;19;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;1w0d;5.102.0.0;23;[20/0];via 4.68.4.46;1w0d;168:00:00;604800
B;1d11h;5.102.0.0;24;[20/0];via 64.71.137.241;1d11h;35:00:00;126000
B;1d11h;5.102.1.0;24;[20/0];via 64.71.137.241;1d11h;35:00:00;126000
B;2d11h;5.102.2.0;23;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;1w0d;5.102.2.0;24;[20/0];via 4.68.4.46;1w0d;168:00:00;604800
B;1w0d;5.102.3.0;24;[20/0];via 4.68.4.46;1w0d;168:00:00;604800
B;2d11h;5.102.4.0;23;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;1d11h;5.102.4.0;24;[20/10];via 89.149.178.10;1d11h;35:00:00;126000
B;1d11h;5.102.5.0;24;[20/10];via 89.149.178.10;1d11h;35:00:00;126000
B;1d23h;5.102.6.0;23;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;1w0d;5.102.6.0;24;[20/0];via 4.68.4.46;1w0d;168:00:00;604800
B;1w0d;5.102.7.0;24;[20/0];via 4.68.4.46;1w0d;168:00:00;604800
B;1d23h;5.102.8.0;23;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;1d11h;5.102.8.0;24;[20/0];via 64.71.137.241;1d11h;35:00:00;126000
B;1d11h;5.102.9.0;24;[20/0];via 64.71.137.241;1d11h;35:00:00;126000
B;1w0d;5.102.10.0;23;[20/0];via 4.68.4.46;1w0d;168:00:00;604800
B;1d11h;5.102.10.0;24;[20/10];via 89.149.178.10;1d11h;35:00:00;126000
B;1d11h;5.102.11.0;24;[20/10];via 89.149.178.10;1d11h;35:00:00;126000
B;2d11h;5.102.12.0;23;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;2d11h;5.102.12.0;24;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;2d11h;5.102.13.0;24;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;1d23h;5.102.14.0;23;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;1d11h;5.102.14.0;24;[20/0];via 64.71.137.241;1d11h;35:00:00;126000
B;1d11h;5.102.15.0;24;[20/0];via 64.71.137.241;1d11h;35:00:00;126000
B;1d23h;5.102.16.0;23;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;1d11h;5.102.16.0;24;[20/0];via 64.71.137.241;1d11h;35:00:00;126000
B;1d11h;5.102.17.0;24;[20/0];via 64.71.137.241;1d11h;35:00:00;126000
B;2w0d;5.102.18.0;23;[20/0];via 4.68.4.46;2w0d;336:00:00;1209600
B;1d11h;5.102.18.0;24;[20/10];via 89.149.178.10;1d11h;35:00:00;126000
B;1d11h;5.102.19.0;24;[20/10];via 89.149.178.10;1d11h;35:00:00;126000
B;2w0d;5.102.20.0;23;[20/0];via 4.68.4.46;2w0d;336:00:00;1209600
B;1d11h;5.102.20.0;24;[20/10];via 89.149.178.10;1d11h;35:00:00;126000
B;1d11h;5.102.21.0;24;[20/10];via 89.149.178.10;1d11h;35:00:00;126000
B;2d11h;5.102.22.0;23;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;2d11h;5.102.22.0;24;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;2d11h;5.102.23.0;24;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;1w0d;5.102.24.0;24;[20/0];via 4.68.4.46;1w0d;168:00:00;604800
B;2d19h;5.102.25.0;24;[20/0];via 4.68.4.46;2d19h;67:00:00;241200
B;1w0d;5.102.26.0;24;[20/0];via 4.68.4.46;1w0d;168:00:00;604800
B;2d19h;5.102.27.0;24;[20/0];via 4.68.4.46;2d19h;67:00:00;241200
B;1w6d;5.102.32.0;22;[20/0];via 217.192.89.50;1w6d;312:00:00;1123200
B;2w5d;5.102.36.0;23;[20/0];via 12.0.1.63;2w5d;456:00:00;1641600
B;2w5d;5.102.38.0;24;[20/0];via 12.0.1.63;2w5d;456:00:00;1641600
B;2w5d;5.102.39.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w6d;5.102.40.0;22;[20/0];via 64.71.137.241;2w6d;480:00:00;1728000
B;2w6d;5.102.40.0;24;[20/0];via 12.0.1.63;2w6d;480:00:00;1728000
B;5:29:07;5.102.42.0;24;[20/0];via 64.71.137.241;05:29:07;05:29:07;19747
B;13:33:48;5.102.44.0;24;[20/0];via 4.68.4.46;13:33:48;13:33:48;48828
B;5d04h;5.102.45.0;24;[20/0];via 64.71.137.241;5d04h;124:00:00;446400
B;1w6d;5.102.46.0;24;[20/0];via 217.192.89.50;1w6d;312:00:00;1123200
B;6d03h;5.102.47.0;24;[20/0];via 64.71.137.241;6d03h;147:00:00;529200
B;2w6d;5.102.48.0;20;[20/0];via 64.71.137.241;2w6d;480:00:00;1728000
B;14:20:20;5.102.64.0;23;[20/0];via 64.71.137.241;14:20:20;14:20:20;51620
B;14:20:20;5.102.66.0;23;[20/0];via 64.71.137.241;14:20:20;14:20:20;51620
B;14:20:20;5.102.68.0;22;[20/0];via 64.71.137.241;14:20:20;14:20:20;51620
B;14:20:20;5.102.71.0;24;[20/0];via 64.71.137.241;14:20:20;14:20:20;51620
B;19:49:30;5.102.72.0;24;[20/0];via 202.232.0.2;19:49:30;19:49:30;71370
B;20:08:48;5.102.73.0;24;[20/10];via 89.149.178.10;20:08:48;20:08:48;72528
B;2w5d;5.102.75.0;24;[20/0];via 154.11.12.212;2w5d;456:00:00;1641600
B;1d23h;5.102.76.0;24;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;1d23h;5.102.77.0;24;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;20:08:48;5.102.78.0;24;[20/10];via 89.149.178.10;20:08:48;20:08:48;72528
B;1d23h;5.102.79.0;24;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;2w5d;5.102.80.0;20;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;12:35:33;5.102.96.0;22;[20/0];via 64.71.137.241;12:35:33;12:35:33;45333
B;2w5d;5.102.100.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.102.101.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.102.102.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.102.103.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;6d09h;5.102.104.0;22;[20/0];via 217.192.89.50;6d09h;153:00:00;550800
B;2w5d;5.102.108.0;22;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;2d20h;5.102.112.0;22;[20/0];via 4.68.4.46;2d20h;68:00:00;244800
B;2w5d;5.102.116.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.102.117.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.102.118.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.102.119.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;1w3d;5.102.120.0;22;[20/0];via 64.71.137.241;1w3d;240:00:00;864000
B;2w5d;5.102.124.0;22;[20/0];via 202.232.0.2;2w5d;456:00:00;1641600
B;1w1d;5.102.128.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;1w1d;5.102.129.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;1w1d;5.102.130.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;2w5d;5.102.131.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;14:34:42;5.102.132.0;24;[20/0];via 64.71.137.241;14:34:42;14:34:42;52482
B;2w5d;5.102.133.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;14:34:42;5.102.134.0;24;[20/0];via 64.71.137.241;14:34:42;14:34:42;52482
B;2w5d;5.102.135.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w1d;5.102.136.0;23;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;6d14h;5.102.136.0;24;[20/0];via 94.142.247.3;6d14h;158:00:00;568800
B;6d14h;5.102.137.0;24;[20/0];via 94.142.247.3;6d14h;158:00:00;568800
B;2w1d;5.102.138.0;23;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;6d14h;5.102.138.0;24;[20/0];via 94.142.247.3;6d14h;158:00:00;568800
B;6d14h;5.102.139.0;24;[20/0];via 94.142.247.3;6d14h;158:00:00;568800
B;2w1d;5.102.140.0;23;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;6d14h;5.102.140.0;24;[20/0];via 94.142.247.3;6d14h;158:00:00;568800
B;6d14h;5.102.141.0;24;[20/0];via 94.142.247.3;6d14h;158:00:00;568800
B;2w1d;5.102.142.0;23;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;6d14h;5.102.142.0;24;[20/0];via 94.142.247.3;6d14h;158:00:00;568800
B;6d14h;5.102.143.0;24;[20/0];via 94.142.247.3;6d14h;158:00:00;568800
B;5d07h;5.102.144.0;21;[20/0];via 64.71.137.241;5d07h;127:00:00;457200
B;3d07h;5.102.152.0;21;[20/0];via 114.31.199.16;3d07h;79:00:00;284400
B;1w0d;5.102.160.0;21;[20/0];via 64.71.137.241;1w0d;168:00:00;604800
