Zdroj;čas;prefix address;prefix mask;metrika;next-hop;;;
B;1w2d;5.150.96.0;22;[20/0];via 4.68.4.46;1w2d;216:00:00;777600
B;1w4d;5.150.100.0;22;[20/0];via 4.68.4.46;1w4d;264:00:00;950400
B;1w2d;5.150.104.0;22;[20/0];via 4.68.4.46;1w2d;216:00:00;777600
B;1w4d;5.150.108.0;22;[20/0];via 4.68.4.46;1w4d;264:00:00;950400
B;1w2d;5.150.112.0;22;[20/0];via 4.68.4.46;1w2d;216:00:00;777600
B;1w4d;5.150.116.0;22;[20/0];via 4.68.4.46;1w4d;264:00:00;950400
B;1w2d;5.150.120.0;22;[20/0];via 4.68.4.46;1w2d;216:00:00;777600
B;1w4d;5.150.124.0;22;[20/0];via 4.68.4.46;1w4d;264:00:00;950400
B;1d15h;5.150.128.0;20;[20/0];via 217.192.89.50;1d15h;39:00:00;140400
B;2w5d;5.150.144.0;21;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.150.156.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.150.157.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.150.158.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.150.159.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w6d;5.150.168.0;24;[20/0];via 4.68.4.46;2w6d;480:00:00;1728000
B;2w6d;5.150.169.0;24;[20/0];via 4.68.4.46;2w6d;480:00:00;1728000
B;2w6d;5.150.170.0;24;[20/0];via 4.68.4.46;2w6d;480:00:00;1728000
B;2w6d;5.150.171.0;24;[20/0];via 4.68.4.46;2w6d;480:00:00;1728000
B;2w6d;5.150.172.0;24;[20/0];via 4.68.4.46;2w6d;480:00:00;1728000
B;1d17h;5.150.192.0;18;[20/0];via 217.192.89.50;1d17h;41:00:00;147600
B;2w6d;5.151.0.0;16;[20/0];via 64.71.137.241;2w6d;480:00:00;1728000
B;15:23:01;5.152.0.0;17;[20/0];via 4.68.4.46;15:23:01;15:23:01;55381
B;2w3d;5.152.128.0;22;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.128.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.129.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.130.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.131.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w5d;5.152.136.0;21;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w3d;5.152.144.0;22;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.144.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.145.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.146.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.147.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.148.0;23;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.148.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.149.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w5d;5.152.152.0;23;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w3d;5.152.154.0;23;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.154.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.155.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.156.0;22;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.156.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.157.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.158.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;2w3d;5.152.159.0;24;[20/0];via 64.71.137.241;2w3d;408:00:00;1468800
B;14:20:16;5.152.160.0;24;[20/0];via 64.71.137.241;14:20:16;14:20:16;51616
B;14:20:17;5.152.161.0;24;[20/0];via 64.71.137.241;14:20:17;14:20:17;51617
B;14:20:17;5.152.163.0;24;[20/0];via 64.71.137.241;14:20:17;14:20:17;51617
B;14:20:16;5.152.164.0;24;[20/0];via 64.71.137.241;14:20:16;14:20:16;51616
B;14:20:17;5.152.165.0;24;[20/0];via 64.71.137.241;14:20:17;14:20:17;51617
B;14:20:17;5.152.166.0;24;[20/0];via 64.71.137.241;14:20:17;14:20:17;51617
B;14:20:17;5.152.167.0;24;[20/0];via 64.71.137.241;14:20:17;14:20:17;51617
B;2w1d;5.152.176.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;2w5d;5.152.180.0;24;[20/0];via 114.31.199.16;2w5d;456:00:00;1641600
B;2w1d;5.152.184.0;24;[20/0];via 12.0.1.63;2w1d;360:00:00;1296000
B;2w1d;5.152.185.0;24;[20/0];via 12.0.1.63;2w1d;360:00:00;1296000
B;2w6d;5.152.186.0;24;[20/0];via 4.68.4.46;2w6d;480:00:00;1728000
B;2w6d;5.152.188.0;23;[20/0];via 4.68.4.46;2w6d;480:00:00;1728000
B;6w6d;5.152.192.0;19;[20/0];via 217.192.89.50;6w6d;1152:00:00;4147200
B;1w0d;5.152.224.0;21;[20/0];via 64.71.137.241;1w0d;168:00:00;604800
B;1w1d;5.152.232.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;1w1d;5.152.233.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;1w1d;5.152.234.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;1w1d;5.152.235.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;1w1d;5.152.236.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;1w1d;5.152.237.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;1w1d;5.152.238.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;1w1d;5.152.239.0;24;[20/0];via 4.68.4.46;1w1d;192:00:00;691200
B;6w6d;5.152.240.0;21;[20/0];via 217.192.89.50;6w6d;1152:00:00;4147200
B;2w5d;5.152.248.0;21;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.153.64.0;19;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;1w0d;5.153.96.0;21;[20/0];via 64.71.137.241;1w0d;168:00:00;604800
B;2w2d;5.153.104.0;21;[20/0];via 91.218.184.60;2w2d;384:00:00;1382400
B;1w6d;5.153.112.0;20;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;4d19h;5.153.128.0;19;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.128.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.129.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.130.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.131.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.132.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.133.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.134.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.135.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.136.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.137.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.138.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.139.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.140.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.141.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.142.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.143.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.144.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.145.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.146.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.147.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.148.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.149.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.150.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.151.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.152.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.153.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.154.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.155.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.156.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.157.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.158.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.159.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.160.0;22;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.160.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.161.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.162.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.163.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.164.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.165.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.166.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.167.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.168.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.169.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.170.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.171.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.173.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;4d19h;5.153.174.0;24;[20/0];via 64.71.137.241;4d19h;115:00:00;414000
B;1d16h;5.153.176.0;23;[20/0];via 193.0.0.56;1d16h;40:00:00;144000
B;2w3d;5.153.178.0;24;[20/0];via 217.192.89.50;2w3d;408:00:00;1468800
B;2w3d;5.153.179.0;24;[20/0];via 217.192.89.50;2w3d;408:00:00;1468800
B;15:44:09;5.153.180.0;24;[20/0];via 154.11.12.212;15:44:09;15:44:09;56649
B;2w3d;5.153.181.0;24;[20/0];via 217.192.89.50;2w3d;408:00:00;1468800
B;3d02h;5.153.182.0;23;[20/0];via 202.232.0.2;3d02h;74:00:00;266400
B;6d21h;5.153.184.0;24;[20/0];via 217.192.89.50;6d21h;165:00:00;594000
B;2w3d;5.153.185.0;24;[20/0];via 217.192.89.50;2w3d;408:00:00;1468800
B;2w3d;5.153.186.0;24;[20/0];via 217.192.89.50;2w3d;408:00:00;1468800
B;1d16h;5.153.187.0;24;[20/0];via 193.0.0.56;1d16h;40:00:00;144000
B;1d16h;5.153.188.0;24;[20/0];via 193.0.0.56;1d16h;40:00:00;144000
B;6d21h;5.153.189.0;24;[20/0];via 217.192.89.50;6d21h;165:00:00;594000
B;1d01h;5.153.190.0;23;[20/0];via 217.192.89.50;1d01h;25:00:00;90000
B;1w4d;5.153.190.0;24;[20/0];via 64.71.137.241;1w4d;264:00:00;950400
B;1d01h;5.153.191.0;24;[20/0];via 217.192.89.50;1d01h;25:00:00;90000
B;1w0d;5.153.192.0;19;[20/0];via 64.71.137.241;1w0d;168:00:00;604800
B;2w6d;5.153.224.0;21;[20/0];via 64.71.137.241;2w6d;480:00:00;1728000
B;1d21h;5.153.233.0;24;[20/0];via 64.71.137.241;1d21h;45:00:00;162000
B;1d21h;5.153.234.0;24;[20/0];via 64.71.137.241;1d21h;45:00:00;162000
B;1d21h;5.153.235.0;24;[20/0];via 64.71.137.241;1d21h;45:00:00;162000
B;1d23h;5.153.236.0;24;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;1d21h;5.153.237.0;24;[20/0];via 64.71.137.241;1d21h;45:00:00;162000
B;1d21h;5.153.238.0;24;[20/0];via 64.71.137.241;1d21h;45:00:00;162000
B;1d23h;5.153.239.0;24;[20/10];via 89.149.178.10;1d23h;47:00:00;169200
B;2w5d;5.153.240.0;21;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.153.248.0;21;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.154.0.0;17;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;6:26:42;5.154.0.0;24;[20/0];via 217.192.89.50;06:26:42;06:26:42;23202
B;2w5d;5.154.6.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;1w1d;5.154.7.0;24;[20/0];via 64.71.137.241;1w1d;192:00:00;691200
B;2w1d;5.154.19.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;1w2d;5.154.39.0;24;[20/0];via 217.192.89.50;1w2d;216:00:00;777600
B;6:26:42;5.154.44.0;24;[20/0];via 217.192.89.50;06:26:42;06:26:42;23202
B;2w5d;5.154.69.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.154.102.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.154.103.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w1d;5.154.128.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w1d;5.154.129.0;24;[20/0];via 217.192.89.50;2w1d;360:00:00;1296000
B;2w5d;5.154.132.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.133.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.136.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.137.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.138.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.139.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.140.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.141.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.144.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.154.145.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.154.146.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.154.147.0;24;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w5d;5.154.158.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.159.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.160.0;21;[20/0];via 12.0.1.63;2w5d;456:00:00;1641600
B;1w4d;5.154.168.0;23;[20/0];via 4.68.4.46;1w4d;264:00:00;950400
B;2w5d;5.154.170.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.154.172.0;23;[20/0];via 217.192.89.50;2w5d;456:00:00;1641600
B;2w1d;5.154.174.0;24;[20/0];via 64.71.137.241;2w1d;360:00:00;1296000
B;6w6d;5.154.175.0;24;[20/0];via 12.0.1.63;6w6d;1152:00:00;4147200
B;4d03h;5.154.176.0;24;[20/0];via 64.71.137.241;4d03h;99:00:00;356400
B;1w4d;5.154.177.0;24;[20/1521];via 144.228.241.130;1w4d;264:00:00;950400
B;1w4d;5.154.178.0;24;[20/1521];via 144.228.241.130;1w4d;264:00:00;950400
B;4d03h;5.154.179.0;24;[20/0];via 64.71.137.241;4d03h;99:00:00;356400
B;1w0d;5.154.181.0;24;[20/0];via 64.71.137.241;1w0d;168:00:00;604800
B;2w1d;5.154.182.0;24;[20/0];via 132.198.255.253;2w1d;360:00:00;1296000
B;2w1d;5.154.183.0;24;[20/0];via 132.198.255.253;2w1d;360:00:00;1296000
B;2w6d;5.154.184.0;24;[20/0];via 64.71.137.241;2w6d;480:00:00;1728000
B;2w5d;5.154.185.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w5d;5.154.187.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w6d;5.154.188.0;23;[20/0];via 64.71.137.241;2w6d;480:00:00;1728000
B;2w2d;5.154.190.0;24;[20/0];via 217.192.89.50;2w2d;384:00:00;1382400
B;2w2d;5.154.191.0;24;[20/0];via 217.192.89.50;2w2d;384:00:00;1382400
B;2w3d;5.154.192.0;19;[20/0];via 4.68.4.46;2w3d;408:00:00;1468800
B;2w2d;5.154.224.0;24;[20/0];via 64.71.137.241;2w2d;384:00:00;1382400
B;1w4d;5.154.226.0;23;[20/1521];via 144.228.241.130;1w4d;264:00:00;950400
B;1w4d;5.154.228.0;23;[20/0];via 4.68.4.46;1w4d;264:00:00;950400
B;1w4d;5.154.230.0;23;[20/1521];via 144.228.241.130;1w4d;264:00:00;950400
B;2w6d;5.154.232.0;24;[20/0];via 64.71.137.241;2w6d;480:00:00;1728000
B;1w3d;5.154.233.0;24;[20/0];via 64.71.137.241;1w3d;240:00:00;864000
B;1w4d;5.154.236.0;24;[20/0];via 64.71.137.241;1w4d;264:00:00;950400
B;2w3d;5.154.237.0;24;[20/0];via 4.68.4.46;2w3d;408:00:00;1468800
B;2d11h;5.154.238.0;24;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;2w2d;5.154.239.0;24;[20/0];via 64.71.137.241;2w2d;384:00:00;1382400
B;2w5d;5.154.240.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.241.0;24;[20/0];via 64.71.137.241;2w5d;456:00:00;1641600
B;2w6d;5.154.242.0;24;[20/0];via 64.71.137.241;2w6d;480:00:00;1728000
B;1w3d;5.154.243.0;24;[20/0];via 64.71.137.241;1w3d;240:00:00;864000
B;2w5d;5.154.244.0;22;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;2w5d;5.154.247.0;24;[20/0];via 4.68.4.46;2w5d;456:00:00;1641600
B;1w4d;5.154.248.0;22;[20/0];via 4.68.4.46;1w4d;264:00:00;950400
B;5d22h;5.154.252.0;23;[20/0];via 193.0.0.56;5d22h;142:00:00;511200
B;5d22h;5.154.254.0;23;[20/0];via 193.0.0.56;5d22h;142:00:00;511200
B;2d11h;5.155.0.0;19;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;18:00:00;5.155.32.0;19;[20/0];via 64.71.137.241;18:00:00;18:00:00;64800
B;2w0d;5.155.64.0;19;[20/0];via 202.232.0.2;2w0d;336:00:00;1209600
B;13:14:08;5.155.96.0;19;[20/10];via 89.149.178.10;13:14:08;13:14:08;47648
B;2w0d;5.155.128.0;19;[20/0];via 64.71.137.241;2w0d;336:00:00;1209600
B;13:14:08;5.155.160.0;19;[20/10];via 89.149.178.10;13:14:08;13:14:08;47648
B;2d11h;5.155.192.0;19;[20/0];via 4.68.4.46;2d11h;59:00:00;212400
B;1w6d;5.155.224.0;19;[20/0];via 94.142.247.3;1w6d;312:00:00;1123200
B;1w6d;5.156.0.0;17;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.0.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.1.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.2.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.3.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.4.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.5.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.6.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.7.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.8.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.9.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.10.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.11.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.12.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.13.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.14.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.15.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.16.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.17.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.18.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.19.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.20.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.21.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.22.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.23.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.24.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.25.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.26.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.27.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.28.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.29.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.30.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.31.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.32.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.33.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.34.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.35.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.36.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.37.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.38.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.39.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.40.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.41.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.42.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.43.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.44.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.45.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.46.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.47.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.48.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.49.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.50.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.51.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.52.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.53.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.54.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.55.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.56.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.57.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.58.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.59.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.60.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.61.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.62.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.63.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.64.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.65.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.66.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.67.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.68.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.69.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.70.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.71.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.72.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.73.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.74.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
B;1w6d;5.156.75.0;24;[20/0];via 64.71.137.241;1w6d;312:00:00;1123200
